,Name rarity score,Background rarity score,Left Arm rarity score,Right Arm rarity score,Eyes rarity score,Hat rarity score,Sleeves rarity score,Upper Body rarity score,Legs rarity score,Feet rarity score,Mouth rarity score,Bag rarity score,Nose rarity score,Outerwear rarity score,Shoe Gum rarity score,Fannypack rarity score,Neck rarity score,Suspenders rarity score,Ears rarity score,Overhead rarity score,Special rarity score,# matching traits rarity score,final score,tokenID
1124,0.041830974854066984,0.0,0.028467697428825035,0.23989572084276342,0.00022466350882041004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38240810312848467,0.0,0.0,0.0,0.0,0.0,0.6928271597629605,Invisible Friends #1125
4672,0.041830974854066984,0.0,0.028467697428825035,0.23989572084276342,0.00022466350882041004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.3105015966955871,Invisible Friends #4672
1830,0.041830974854066984,0.0,0.028467697428825035,0.23989572084276342,0.00022466350882041004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.3105015966955871,Invisible Friends #1834
2165,0.041830974854066984,0.0,0.028467697428825035,0.23989572084276342,0.00022466350882041004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.3105015966955871,Invisible Friends #2165
1000,0.041830974854066984,0.0,1.1525383574423091e-05,0.23989572084276342,0.00022466350882041004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.28204542465033644,Invisible Friends #1001
1774,0.041830974854066984,0.0,0.0028467697428825036,0.000821560687817683,0.004648806451745408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06373468385474745,0.0,0.0,0.0,0.0,0.0,0.11388279559126004,Invisible Friends #1777
2967,0.041830974854066984,0.0,0.0012939862467647744,0.000821560687817683,0.0025181034946954294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06373468385474745,0.0,0.0,0.0,0.0,0.0,0.11019930913809232,Invisible Friends #2968
4276,0.041830974854066984,0.0,0.00012377259751663057,0.0021612227102951655,0.0004796387608943675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06373468385474745,0.0,0.0,0.0,0.0,0.0,0.1083302927775206,Invisible Friends #4276
256,0.041830974854066984,0.0,0.0028467697428825036,0.0020330145834132492,0.0604344838726903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.1072277831141643,Invisible Friends #257
3435,0.041830974854066984,0.0,0.0028467697428825036,0.0014627787856266064,0.0604344838726903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.10665754731637765,Invisible Friends #3436
1339,0.041830974854066984,0.0,0.0001317948955038196,9.145852872388998e-05,0.0002507654932476776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06373468385474745,0.0,0.0,0.0,0.0,0.0,0.10603967762628982,Invisible Friends #1340
4856,0.041830974854066984,0.0,1.1525383574423091e-05,9.145852872388998e-05,9.517241554754378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06373468385474745,0.0,0.0,0.0,0.0,0.0,0.1057638150366603,Invisible Friends #4856
2379,0.041830974854066984,0.0,1.1525383574423091e-05,9.145852872388998e-05,9.517241554754378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06373468385474745,0.0,0.0,0.0,0.0,0.0,0.1057638150366603,Invisible Friends #2380
2325,0.041830974854066984,0.0,0.0028467697428825036,0.021808701894796674,0.0067149426525211445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.07328392920537857,Invisible Friends #2326
2474,0.041830974854066984,0.0,1.1525383574423091e-05,0.021808701894796674,0.0030992043011636053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.06683294649471294,Invisible Friends #2475
4353,0.041830974854066984,0.0,0.00012485832205625017,0.021808701894796674,0.0025181034946954294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.0663651786267266,Invisible Friends #4353
2992,0.041830974854066984,0.0,0.0001342815916454011,0.021808701894796674,0.000649833159921401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.06450633156154172,Invisible Friends #2993
2843,0.041830974854066984,0.0,0.0002685631832908022,0.021808701894796674,0.000311517958106651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.06430229795137238,Invisible Friends #2844
2529,0.041830974854066984,0.0,0.0001317948955038196,0.021808701894796674,0.000311517958106651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.06416552966358538,Invisible Friends #2530
2295,0.041830974854066984,0.0,1.1525383574423091e-05,0.021808701894796674,0.00028709968585601095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.06402084187940535,Invisible Friends #2296
4012,0.041830974854066984,0.0,1.1525383574423091e-05,0.021808701894796674,0.0002507654932476776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.06398450768679702,Invisible Friends #4024
531,0.041830974854066984,0.0,1.1525383574423091e-05,0.021808701894796674,0.00022466350882041004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.06395840570236976,Invisible Friends #532
1981,0.041830974854066984,0.0,1.1525383574423091e-05,0.021808701894796674,9.517241554754378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.06382891460909688,Invisible Friends #1985
4090,0.041830974854066984,0.0,1.1525383574423091e-05,0.021808701894796674,9.517241554754378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.06382891460909688,Invisible Friends #4090
1971,0.041830974854066984,0.0,1.1525383574423091e-05,0.015993048056184227,0.0011734851237415593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027913000228356544,0.0,0.0,0.0,0.0,0.0,0.061800333440402845,Invisible Friends #1975
3705,0.041830974854066984,0.0,0.00012377259751663057,0.011994786042138172,0.0067149426525211445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.06074701620735418,Invisible Friends #3707
1312,0.041830974854066984,0.0,0.00012377259751663057,0.01262609057067176,0.0030992043011636053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027913000228356544,0.0,0.0,0.0,0.0,0.0,0.060471342346254627,Invisible Friends #1313
3678,0.041830974854066984,0.0,1.1525383574423091e-05,0.015993048056184227,0.00022466350882041004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017071790318235922,0.0,0.0,0.0,0.0,0.0,0.059767390834469636,Invisible Friends #3680
4997,0.041830974854066984,0.0,0.0001430537559237439,0.015993048056184227,0.001405453113318379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.05945506984060459,Invisible Friends #4997
1106,0.041830974854066984,0.0,0.0001317948955038196,0.015993048056184227,0.0009087892311682752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.058947147098034565,Invisible Friends #1107
2577,0.041830974854066984,0.0,0.0001430537559237439,0.015993048056184227,0.0004796387608943675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.05852925548818058,Invisible Friends #2578
2851,0.041830974854066984,0.0,0.0005271795820152784,0.015993048056184227,9.517241554754378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.058528914968925295,Invisible Friends #2852
4239,0.041830974854066984,0.0,0.0001342815916454011,0.015993048056184227,0.000311517958106651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.058352362521114524,Invisible Friends #4239
49,0.041830974854066984,0.0,0.0001342815916454011,0.015993048056184227,0.00022466350882041004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.05826550807182828,Invisible Friends #50
954,0.041830974854066984,0.0,1.1525383574423091e-05,0.015993048056184227,0.000311517958106651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.058229606313043546,Invisible Friends #955
3370,0.041830974854066984,0.0,0.00022067982502965147,0.015993048056184227,9.517241554754378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.05822241521193967,Invisible Friends #3371
4694,0.041830974854066984,0.0,1.1525383574423091e-05,0.015993048056184227,0.00030217241936345154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.05822026077430034,Invisible Friends #4694
3964,0.041830974854066984,0.0,1.1525383574423091e-05,0.015993048056184227,0.00028709968585601095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.0582051880407929,Invisible Friends #3976
3453,0.041830974854066984,0.0,0.0001430537559237439,0.015993048056184227,9.517241554754378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.05814478914283376,Invisible Friends #3454
1616,0.041830974854066984,0.0,0.0001342815916454011,0.015993048056184227,9.517241554754378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.058136016978555416,Invisible Friends #1617
464,0.041830974854066984,0.0,0.0001317948955038196,0.015993048056184227,9.517241554754378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.05813353028241384,Invisible Friends #465
1465,0.041830974854066984,0.0,0.00018485517810925347,0.01262609057067176,0.0030992043011636053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254006111126368e-05,0.0,0.0,0.0,0.0,0.0,0.05782366496512286,Invisible Friends #1466
3901,0.041830974854066984,0.0,1.1525383574423091e-05,0.01262609057067176,0.00022466350882041004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027913000228356544,0.0,0.0,0.0,0.0,0.0,0.05748455433996923,Invisible Friends #3910
766,0.041830974854066984,0.0,1.1525383574423091e-05,0.01262609057067176,0.0010072413978781717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017071790318235922,0.0,0.0,0.0,0.0,0.0,0.05718301123801493,Invisible Friends #767
4629,0.041830974854066984,0.0,0.00022067982502965147,0.011994786042138172,9.517241554754378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027913000228356544,0.0,0.0,0.0,0.0,0.0,0.05693291315961801,Invisible Friends #4629
